STABR,LIBNAME,ADDRESS,CITY,ZIP,CNTY,C_OUT_TY,HOURS,LONGITUD,LATITUDE
ME,WALDOBORO PUBLIC LIBRARY,958 MAIN STREET,WALDOBORO,4572,LINCOLN,CE,1664,-69.3739093,44.0963457
ME,WASHBURN MEMORIAL LIBRARY,1290 MAIN STREET,WASHBURN,4786,AROOSTOOK,CE,1300,-68.1567623,46.7901983
ME,WATERBORO PUBLIC LIBRARY,187 MAIN ST.,EAST WATERBORO,4030,YORK,CE,1508,-70.6766029,43.5709114
ME,WATERVILLE PUBLIC LIBRARY,73 ELM STREET,WATERVILLE,4901,KENNEBEC,CE,1716,-69.6322482,44.551482
ME,CARY MEMORIAL LIBRARY-WAYNE,17 OLD WINTHROP ROAD,WAYNE,4284,KENNEBEC,CE,894,-70.0656811,44.3471499
ME,WELLS PUBLIC LIBRARY,1434 POST ROAD,WELLS,4090,YORK,CE,2044,-70.5827681,43.3181429
ME,WEST PARIS PUBLIC LIBRARY,226 MAIN STREET,WEST PARIS,4289,OXFORD,CE,998,-70.573594,44.3247888
ME,WALKER MEMORIAL LIBRARY,800 MAIN STREET,WESTBROOK,4092,CUMBERLAND,CE,2003,-70.3636872,43.6763586
ME,WHITNEYVILLE PUBLIC LIBRARY,6 CROSS STREET,WHITNEYVILLE,4654,WASHINGTON,CE,1728,-67.5237227,44.7218583
ME,WILTON FREE PUBLIC LIBRARY,6 GOODSPEED STREET,WILTON,4294,FRANKLIN,CE,1716,-70.2301825,44.5876528
ME,WINDHAM PUBLIC LIBRARY,217 WINDHAM CENTER ROAD,WINDHAM,4062,CUMBERLAND,CE,2307,-70.4114411,43.7909565
ME,WINSLOW PUBLIC LIBRARY,136 HALIFAX STREET,WINSLOW,4901,KENNEBEC,CE,2340,-69.6089834,44.5440383
ME,WINTER HARBOR PUBLIC LIBRARY,18 CHAPEL LANE,WINTER HARBOR,4693,HANCOCK,CE,848,-68.0879441,44.3909268
ME,WINTERPORT MEMORIAL LIBRARY,229 MAIN STREET,WINTERPORT,4496,WALDO,CE,1253,-68.8472623,44.6348295
ME,CHARLES M. BAILEY PUBLIC LIBRARY,39 BOWDOIN STREET,WINTHROP,4364,KENNEBEC,CE,1908,-69.9731145,44.3080786
ME,WISCASSET PUBLIC LIBRARY,21 HIGH STREET,WISCASSET,4578,LINCOLN,CE,1820,-69.6681023,44.0033582
ME,WHITMAN MEMORIAL LIBRARY,28 SOUTH MAIN STREET,BRYANT POND,4219,OXFORD,CE,490,-70.6437906,44.3799918
ME,MERRILL MEMORIAL LIBRARY,215 MAIN STREET,YARMOUTH,4096,CUMBERLAND,CE,2228,-70.1873052,43.8008784
ME,YORK PUBLIC LIBRARY,15 LONG SANDS ROAD,YORK,3909,YORK,CE,2444,-70.6493912,43.1446001
ME,MILBRIDGE PUBLIC LIBRARY,18 SCHOOL STREET,MILBRIDGE,4658,WASHINGTON,CE,2080,-67.8810467,44.5390095
